n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
180,22539,gauche,5,3,3,2,1,36,18,29,10,14,10,11,22,6,7,7,3,8,4,4,6,4,3,2,1
181,22695,gauche,6,3,3,2,1,27,19,27,10,12,9,8,19,6,6,6,3,7,3,3,8,4,3,2,1
182,22844,gauche,8,3,2,2,1,24,19,24,10,11,9,6,15,6,6,6,3,5,3,3,12,4,3,2,1
183,23015,gauche,9,2,2,2,1,24,18,21,10,10,10,4,11,6,6,5,3,3,2,3,14,4,2,2,1
184,23018,gauche,10,2,2,2,1,26,17,17,10,10,10,4,8,6,7,5,3,2,3,4,15,5,2,2,1
185,23340,gauche,10,2,1,2,1,35,13,16,13,12,10,6,8,8,12,5,3,2,4,6,13,6,2,2,1
186,23342,gauche,11,3,1,2,1,43,11,19,17,13,9,7,9,9,14,6,4,2,6,6,13,6,2,2,1
187,23522,gauche,11,3,1,2,1,43,11,19,17,13,9,7,9,9,14,6,4,2,6,6,13,6,2,2,1
188,23721,gauche,19,4,2,2,1,65,10,33,23,13,11,9,9,10,17,7,5,3,8,6,21,7,2,2,1
189,23721,gauche,19,4,2,2,1,65,10,33,23,13,11,9,9,10,17,7,5,3,8,6,21,7,2,2,1
190,23899,gauche,26,6,3,3,1,82,10,44,22,10,18,8,8,9,15,7,6,3,8,6,33,8,2,3,1
191,24104,gauche,26,6,3,3,2,82,11,45,19,8,22,7,7,8,13,6,6,3,7,5,33,8,3,3,1
192,24108,gauche,23,6,2,3,2,74,11,41,15,8,25,6,6,6,10,5,5,3,5,5,29,8,3,3,2
193,24275,gauche,18,5,2,3,2,61,12,35,12,8,27,6,6,5,8,5,4,3,4,4,23,7,3,3,2
194,24278,gauche,14,5,2,3,2,45,14,27,10,9,27,6,7,4,7,4,4,3,3,4,16,7,4,3,2
195,24480,gauche,11,4,2,3,2,31,17,19,9,11,26,7,9,4,7,4,4,4,3,5,12,8,4,3,2
196,24659,gauche,9,4,2,3,2,21,21,14,10,13,23,9,11,4,8,3,4,5,3,5,10,8,4,3,2
197,24867,gauche,9,4,2,3,2,21,21,14,10,13,23,9,11,4,8,3,4,5,3,5,10,8,4,3,2
198,24870,gauche,5,4,6,3,1,18,27,9,12,18,12,25,17,4,17,4,5,9,4,9,6,6,5,3,2
199,25055,gauche,3,4,8,3,2,21,24,9,12,17,9,29,16,4,17,4,4,8,3,9,5,5,5,3,2
200,25259,gauche,3,3,10,3,2,25,20,9,11,15,7,32,14,4,16,4,4,7,3,8,5,4,6,2,2
201,25260,gauche,2,3,11,2,2,27,17,8,9,12,6,32,13,4,13,5,4,5,3,7,4,4,7,2,1
202,25448,gauche,2,3,10,2,1,27,15,7,7,9,8,32,12,4,10,5,4,4,3,5,4,3,7,2,1
203,25449,gauche,2,2,9,2,1,25,13,6,5,7,11,30,12,5,8,5,4,3,2,4,3,3,6,1,1
204,25657,gauche,2,2,7,1,1,21,12,6,5,6,16,28,12,7,6,6,4,3,2,3,3,2,6,1,1
205,25843,gauche,2,2,5,1,1,15,14,10,7,8,28,22,13,13,6,8,4,8,3,4,4,2,7,1,1
206,25848,gauche,2,2,5,1,1,17,17,11,8,8,27,20,12,13,6,7,4,9,3,4,5,1,6,1,1
207,26096,gauche,2,2,5,1,1,17,17,11,8,8,27,20,12,13,6,7,4,9,3,4,5,1,6,1,1
208,26098,gauche,9,8,5,1,1,20,21,6,6,5,25,11,5,7,4,5,3,4,3,3,5,5,3,1,1
209,26305,gauche,11,10,6,2,1,18,20,4,5,4,26,8,4,7,4,5,2,3,3,3,6,6,3,1,1
210,26526,gauche,13,11,7,2,1,17,18,3,4,4,28,6,4,7,4,6,2,2,4,3,6,7,4,1,1
211,26527,gauche,13,12,8,2,1,16,16,3,4,4,28,6,5,8,4,7,3,1,4,3,7,7,4,1,1
212,26530,gauche,13,11,8,2,1,15,15,3,4,4,26,6,5,8,5,7,3,1,5,3,9,7,4,1,1
213,26738,gauche,12,9,7,2,1,15,15,4,5,4,23,6,5,8,5,7,3,1,4,3,11,6,4,1,1
214,26966,gauche,11,7,6,2,1,14,15,5,7,5,19,8,4,7,6,6,2,1,4,3,13,6,4,1,1
