n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
154,19317,droite,1573,387,130,33,6,783,128,34,7,5,4,2,5,15,8,229,76,44,20,9,1457,355,120,31,5
155,19649,droite,100,25,8,3,1,621,50,12,3,1,2,1,5,16,11,20,7,6,3,2,96,21,7,2,1
156,19651,droite,100,25,8,3,1,621,50,12,3,1,2,1,5,16,11,20,7,6,3,2,96,21,7,2,1
157,19810,droite,12,3,1,1,1,479,32,9,3,1,2,1,4,18,12,7,3,4,2,1,10,2,1,1,0
158,19988,droite,8,3,1,2,1,210,24,9,3,1,2,1,3,20,13,10,4,4,2,1,9,2,1,2,1
159,19988,droite,7,3,2,3,1,119,29,11,4,1,3,1,3,20,12,12,4,4,2,1,6,3,2,3,1
160,20146,droite,5,3,2,3,1,73,36,13,5,2,3,1,3,18,11,11,4,4,1,1,8,3,2,3,1
161,20324,droite,5,3,2,3,1,73,36,13,5,2,3,1,3,18,11,11,4,4,1,1,8,3,2,3,1
162,20326,droite,5,2,2,3,1,60,39,15,5,2,3,2,3,16,10,10,4,3,1,1,4,3,2,3,1
163,20664,droite,3,2,2,3,1,70,32,14,5,3,4,4,4,11,9,6,3,2,1,1,3,2,3,3,1
164,20666,droite,3,2,2,3,1,70,32,14,5,3,4,4,4,11,9,6,3,2,1,1,3,2,3,3,1
165,20825,droite,2,2,2,2,1,59,17,9,3,2,4,5,4,10,9,3,3,1,1,1,3,1,3,2,1
166,20828,droite,2,2,2,2,1,59,17,9,3,2,4,5,4,10,9,3,3,1,1,1,3,1,3,2,1
167,21010,droite,2,2,3,2,1,47,10,5,2,1,4,5,4,12,9,2,3,1,1,1,2,1,3,2,1
168,21175,droite,2,2,3,2,1,39,10,4,2,1,4,4,4,13,9,2,3,1,1,1,3,1,2,2,1
169,21367,droite,2,2,3,2,1,45,11,3,2,1,4,3,4,13,9,2,3,2,1,1,2,1,2,2,1
170,21371,droite,2,2,3,2,1,45,11,3,2,1,4,3,4,13,9,2,3,2,1,1,2,1,2,2,1
171,21540,droite,3,2,3,2,1,51,17,4,2,1,5,2,4,12,10,2,3,3,1,1,3,2,2,2,1
172,21709,droite,3,2,3,2,1,50,20,4,2,1,5,2,5,11,10,1,3,3,1,1,3,2,2,2,1
173,21709,droite,3,2,3,2,1,50,20,4,2,1,5,2,5,11,10,1,3,3,1,1,3,2,2,2,1
174,21900,droite,4,2,3,2,1,59,23,6,2,1,5,2,4,10,10,1,2,4,1,1,3,3,3,2,1
175,22072,droite,5,3,3,2,1,95,24,7,2,1,4,2,3,10,9,1,2,3,1,1,2,3,3,2,1
176,22075,droite,5,3,3,1,1,147,26,9,3,1,3,2,3,10,9,1,2,2,1,1,2,3,4,2,1
