n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
131,16483,neutre,14,5,6,5,3,75,18,12,8,6,9,6,7,13,13,5,4,4,4,2,2,1,1,1,1
132,16619,neutre,4,1,0,0,0,55,18,11,8,6,14,6,9,13,12,0,0,0,0,0,2,0,0,0,0
133,16780,neutre,4,1,0,0,0,55,18,11,8,6,14,6,9,13,12,0,0,0,0,0,2,0,0,0,0
134,16934,neutre,78,26,3,2,4,43,54,19,15,9,58,20,44,34,17,0,0,0,0,0,68,23,3,2,3
135,17083,neutre,219,74,9,7,10,58,96,30,21,14,96,35,69,54,21,0,0,0,0,0,191,64,8,7,10
136,17084,neutre,443,149,21,15,21,84,144,43,28,19,141,54,91,76,26,0,0,0,0,0,384,130,19,14,20
137,17246,neutre,704,237,35,23,34,114,186,56,34,23,182,74,102,93,30,0,0,0,0,0,610,206,32,23,31
138,17427,neutre,929,312,49,31,46,133,207,64,37,25,210,88,100,101,32,0,0,0,0,0,803,272,44,31,42
139,17596,neutre,1042,350,58,35,52,144,199,64,36,24,217,92,84,96,31,0,0,0,0,0,899,306,52,35,48
140,17596,neutre,1003,337,58,34,51,137,166,56,31,20,201,86,60,80,27,0,0,0,0,0,863,295,53,34,47
141,17747,neutre,827,279,50,29,43,115,119,43,24,15,165,71,37,59,22,0,0,0,0,0,711,245,46,29,39
142,17920,neutre,576,195,37,21,31,88,72,28,16,10,119,52,18,39,18,0,0,0,0,0,494,173,34,21,29
143,18077,neutre,334,113,24,13,19,55,37,16,10,6,75,34,8,25,14,0,0,0,0,0,285,102,21,13,18
144,18257,neutre,179,69,33,27,22,37,16,8,6,3,43,21,5,18,13,7,7,7,6,4,131,50,11,7,10
145,18259,neutre,179,69,33,27,22,37,16,8,6,3,43,21,5,18,13,7,7,7,6,4,131,50,11,7,10
146,18421,neutre,198,144,126,119,76,22,8,4,4,2,27,19,9,20,17,42,44,42,37,24,49,21,5,4,6
147,18601,neutre,946,852,767,737,456,23,5,3,2,2,54,57,42,54,42,283,282,269,237,149,17,8,6,3,6
148,18602,neutre,1576,1391,1259,1204,744,28,5,4,2,2,87,88,69,80,61,469,463,441,389,243,20,8,9,3,7
149,18774,neutre,1576,1391,1259,1204,744,28,5,4,2,2,87,88,69,80,61,469,463,441,389,243,20,8,9,3,7
150,18962,neutre,2186,1740,1609,1519,941,190,49,25,11,6,119,110,92,101,73,616,594,561,493,306,68,10,10,4,9
151,18965,neutre,1627,1219,1139,1074,666,435,110,50,21,12,87,79,68,76,55,440,420,397,348,216,94,13,9,5,9
152,19129,neutre,1028,694,659,620,386,776,193,83,37,21,55,48,43,50,36,256,243,229,200,124,126,16,9,6,9
153,19321,neutre,580,304,295,276,174,1208,288,124,58,31,31,25,23,29,22,114,107,100,88,54,169,21,11,8,8
154,19494,neutre,301,49,39,24,16,1939,442,195,100,51,12,9,7,10,10,5,4,4,3,2,266,35,21,13,9
155,19496,neutre,301,49,39,24,16,1939,442,195,100,51,12,9,7,10,10,5,4,4,3,2,266,35,21,13,9
156,19682,neutre,344,58,40,18,11,2137,472,211,114,56,10,8,6,8,8,0,0,0,0,0,310,43,28,16,10
157,19857,neutre,406,69,46,21,13,2194,461,207,118,57,9,6,6,6,8,0,0,0,0,0,356,49,34,18,11
158,19857,neutre,479,76,47,22,15,2138,417,186,112,52,8,5,6,6,7,0,0,0,0,0,414,54,38,19,12
159,20055,neutre,575,83,46,22,18,1997,351,155,97,44,6,3,7,6,8,0,0,0,0,0,497,64,41,21,16
